Title,Title_URL,Content
"Tulip Armchair, Model No. 150",https://www.brooklynmuseum.org/opencollection/objects/1588,"
      Eero Saarinen; Knoll International, Inc.Tulip Armchair, Model No. 150Designed 1956; Manufactured ca. 1970    "
Side Chair,https://www.brooklynmuseum.org/opencollection/objects/1678,"
      Frank Lloyd WrightAmerican, 1867–1959Side Chair1904    "
"Vase, Chief Shavehead",https://www.brooklynmuseum.org/opencollection/objects/1699,"
      Grace Young; Rookwood Pottery CompanyVase, Chief Shaveheadca. 1899    "
Vanity with Mirror,https://www.brooklynmuseum.org/opencollection/objects/2475,"
      Kem Weber; Lloyd Manufacturing CompanyVanity with Mirror1934    "
Coffee Pot,https://www.brooklynmuseum.org/opencollection/objects/11506,"
      Daniel Christian FueterSwiss, 1720–1785Coffee Potca. 1765    "
Teapot,https://www.brooklynmuseum.org/opencollection/objects/124546,"
      William SimpkinsAmerican, 1704–1780Teapotca. 1750    "
Cabinet-Secretary,https://www.brooklynmuseum.org/opencollection/objects/146945,"
      Kimbel and Cabus1863–1882Cabinet-Secretaryca. 1875    "
Modern Madonna,https://www.brooklynmuseum.org/opencollection/objects/38,"
      Bessie Potter VonnohAmerican, 1872–1955Modern Madonna1904    "
Vegetable Dish and Cover,https://www.brooklynmuseum.org/opencollection/objects/1383,"
      Union Porcelain Works1863–ca. 1922Vegetable Dish and Coverca. 1879    "
Armchair,https://www.brooklynmuseum.org/opencollection/objects/1670,"
      George Jacob HunzingerAmerican, born Germany, 1835–1898Armchairca. 1876    "
Doña Mariana Belsunse y Salasar,https://www.brooklynmuseum.org/opencollection/objects/1950,"
      José Joaquín Bermejo; Pedro José DíazDoña Mariana Belsunse y Salasarca. 1780    "
Tri-symmetric Sculptured Table,https://www.brooklynmuseum.org/opencollection/objects/2060,"
      Vladimir Kagan; Kagan-DreyfussTri-symmetric Sculptured Tableca. 1953    "
"Atahualpa, Fourteenth Inca, 1 of 14 Portraits of Inca Kings",https://www.brooklynmuseum.org/opencollection/objects/2310,"
      Unknown; PeruvianAtahualpa, Fourteenth Inca, 1 of 14 Portraits of Inca KingsProbably mid–18th century    "
Stela of Irethoreru,https://www.brooklynmuseum.org/opencollection/objects/3229,"
      EgyptianStela of Irethoreruca. 775–653 B.C.E.    "
Shabti of Senkamanisken,https://www.brooklynmuseum.org/opencollection/objects/3443,"
      NubianShabti of Senkamanisken643–623 B.C.E.    "
Prince Yahya,https://www.brooklynmuseum.org/opencollection/objects/4822,"
      Muhammad HasanPersian, active 1808–1840Prince Yahyaca. 1830s    "
"Returning Sails at Yabase (Yabase no Kihan), from Eight Views of the Province O...    ",https://www.brooklynmuseum.org/opencollection/objects/49891,"
      Utagawa HiroshigeJapanese, 1797–1858Returning Sails at Yabase (Yabase no Kihan), from Eight Views of the Province O...    "
Vase,https://www.brooklynmuseum.org/opencollection/objects/102325,"
      George E. OhrAmerican, 1857–1918Vaseca. 1900    "
Vase,https://www.brooklynmuseum.org/opencollection/objects/109220,"
      Edward C Moore; Tiffany & CompanyVase1877    "
Baby Oil Pourer,https://www.brooklynmuseum.org/opencollection/objects/112519,"
      Eva ZeiselAmerican, born Hungary, 1906–2011Baby Oil Pourerca. 1940    "
"Salt or Pepper Shaker, One of Pair",https://www.brooklynmuseum.org/opencollection/objects/115769,"
      Tiffany & CompanyAmerican, founded 1853Salt or Pepper Shaker, One of Pairca. 1907    "
"Napkin Clip, 1 of 2",https://www.brooklynmuseum.org/opencollection/objects/146894,"
      Charles T. Grosjean; Tiffany & CompanyNapkin Clip, 1 of 21878–1879    "
Teapot from Raymor Modern Stoneware line,https://www.brooklynmuseum.org/opencollection/objects/152865,"
      Ben Seibel; Roseville Pottery CompanyTeapot from Raymor Modern Stoneware lineca. 1952    "
Celery and Olive Dish from Raymor Modern Stoneware Line,https://www.brooklynmuseum.org/opencollection/objects/152866,"
      Ben Seibel; Roseville Pottery CompanyCelery and Olive Dish from Raymor Modern Stoneware Lineca. 1952    "
"Salt or Pepper Shaker, One of Pair",https://www.brooklynmuseum.org/opencollection/objects/157684,"
      Tiffany & CompanyAmerican, founded 1853Salt or Pepper Shaker, One of Pairca. 1907    "
Diana of the Tower,https://www.brooklynmuseum.org/opencollection/objects/259,"
      Augustus Saint-GaudensAmerican, born Ireland, 1848–1907Diana of the Tower1895    "
Letitia Wilson Jordan,https://www.brooklynmuseum.org/opencollection/objects/307,"
      Thomas EakinsAmerican, 1844–1916Letitia Wilson Jordan1888    "
Vase,https://www.brooklynmuseum.org/opencollection/objects/744,"
      Charles VolkmarAmerican, 1841–1914Vase1881    "
Sweetmeat Dish,https://www.brooklynmuseum.org/opencollection/objects/932,"
      Gousse Bonnin; George Anthony Morris; American China ManufactorySweetmeat Dish1770–1772    "
Seated Female Figure,https://www.brooklynmuseum.org/opencollection/objects/1448,"
      JaliscoSeated Female Figureca. 200    "
Seated Male Figure,https://www.brooklynmuseum.org/opencollection/objects/1449,"
      JaliscoSeated Male Figureca. 200    "
"Armchair, Model DAF",https://www.brooklynmuseum.org/opencollection/objects/1707,"
      Charles Pollock; George Nelson; Henry MillerArmchair, Model DAFca. 1956    "
Water Filter,https://www.brooklynmuseum.org/opencollection/objects/2327,"
      Union Porcelain Works1863–ca. 1922Water FilterPatented November 28, 1882    "
Child's Chair,https://www.brooklynmuseum.org/opencollection/objects/2431,"
      Gardner & Company1863–1888Child's ChairPatented May 21, 1872    "
Candelabrum,https://www.brooklynmuseum.org/opencollection/objects/2432,"
      Cornelius & Baker1853–1869Candelabrumca. 1850–1851    "
Padimahes,https://www.brooklynmuseum.org/opencollection/objects/3725,"
      EgyptianPadimahesca. 760–525 B.C.E.    "
Relief of the Theban Divine Family,https://www.brooklynmuseum.org/opencollection/objects/3926,"
      EgyptianRelief of the Theban Divine Familyca. 710–670 B.C.E.    "
Incense Burner with Silver Cover,https://www.brooklynmuseum.org/opencollection/objects/4322,"
      Kondo TakahiroJapanese, born 1958Incense Burner with Silver Cover2001    "
"Amr, Disguised as Mazmahil the Surgeon, Practices Quackery on the Sorcerers of Antali...    ",https://www.brooklynmuseum.org/opencollection/objects/23165,"
      Dasavanta; Shravana; Mahesa; IndianAmr, Disguised as Mazmahil the Surgeon, Practices Quackery on the Sorcerers of Antali...    "
Ushabti of Taharqa,https://www.brooklynmuseum.org/opencollection/objects/49163,"
      Nubian; KushiteUshabti of Taharqaca. 690–664 B.C.E.    "
"Night Rain at Azuma-no-mori, from the series Eight Views in the Environs of Edo...    ",https://www.brooklynmuseum.org/opencollection/objects/51875,"
      Utagawa HiroshigeJapanese, 1797–1858Night Rain at Azuma-no-mori, from the series Eight Views in the Environs of Edo...    "
Circular Shallow Bowl,https://www.brooklynmuseum.org/opencollection/objects/55688,"
      Maria Martinez; Julian Martinez; Po-who-ge-oweenge (San Ildefonso Pueblo)Circular Shallow Bowlca. 1943    "
Figurine of a Man,https://www.brooklynmuseum.org/opencollection/objects/60565,"
      NayaritFigurine of a Man100 BCE – 200 CE    "
Maize God Emerging from a Flower,https://www.brooklynmuseum.org/opencollection/objects/96223,"
      MayaMaize God Emerging from a Flower600–900    "
Figurine of a Woman,https://www.brooklynmuseum.org/opencollection/objects/165548,"
      NayaritFigurine of a Woman100 BCE – 200 CE    "
"The Virgin Mary with Christ Child, Saint Dominic, Saint Francis, and Indigenous Worshippers",https://www.brooklynmuseum.org/opencollection/objects/684,"
      UnknownThe Virgin Mary with Christ Child, Saint Dominic, Saint Francis, and Indigenous Worshipperslate 18th ...    "
Qero Cup,https://www.brooklynmuseum.org/opencollection/objects/696,"
      QuechuaQero Cuplate 17th–18th century    "
Vase,https://www.brooklynmuseum.org/opencollection/objects/743,"
      Charles VolkmarAmerican, 1841–1914Vaseca. 1881    "
The Legend of Santa Sophronia,https://www.brooklynmuseum.org/opencollection/objects/982,"
      Cuzco SchoolThe Legend of Santa Sophronialate 17th century    "
