Field,Field1,Image,Field3,Field5,Field8,Field9,Field10,Field11,Image12,Field13,Field18,Field19,Field20,Field21,Field22,Image23,Field26,Field29,Field30,Field31
"
																											
																												
																													
																														
																													
																												
																											
																												
																													1844.1.aux
																												
																													De Lamater & Son
																												
																													Cabinet card: detail of Colonel Prescott from ""The Death of General Warren at the Battle of Bunker's Hill, June 17, 1775"" by John Trumbull
																												
																													Photographic print mounted on card
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v001$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=d51600fae3d35518611f946c772d71e3&r=1558451702&lang=en-US,1844.1.aux,"
																													De Lamater & Son
																												","
																													Cabinet card: detail of Colonel Prescott from ""The Death of General Warren at the Battle of Bunker's Hill, June 17, 1775"" by John Trumbull
																												","
																													Photographic print mounted on card
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1844.2
																												
																													John Trumbull
																												
																													The Death of General Montgomery in the Attack on Quebec, December 31, 1775
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v002$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=7ce4841853bf6ef915a123e086e58e7b&r=1558451702&lang=en-US,"
																													1844.2
																												",John Trumbull,"
																													The Death of General Montgomery in the Attack on Quebec, December 31, 1775
																												","
																													Oil on canvas
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1844.1
																												
																													John Trumbull
																												
																													The Death of General Warren at the Battle of Bunker's Hill, June 17, 1775
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v000$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=db95f7a0c9733690edaa40adc75f49c5&r=1558451702&lang=en-US,1844.1,John Trumbull,"
																													The Death of General Warren at the Battle of Bunker's Hill, June 17, 1775
																												","
																													Oil on canvas
																												"
"
																											
																												
																													
																														
																													
																												
																											
																												
																													1844.3a
																												
																													John Francis Eugene Prud'Homme
																												
																													Engraved Key to ""The Declaration of Independence, July 4, 1776""
																												
																													Engraving on paper
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v004$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=ed15d126b9672c601ee2a58413230c7f&r=1558451702&lang=en-US,1844.3a,"
																													John Francis Eugene Prud'Homme
																												","
																													Engraved Key to ""The Declaration of Independence, July 4, 1776""
																												","
																													Engraving on paper
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1844.4
																												
																													John Trumbull
																												
																													The Capture of the Hessians at Trenton, December 26, 1776
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v005$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=328a2a4e96321211914236374718e523&r=1558451702&lang=en-US,"
																													1844.4
																												",John Trumbull,"
																													The Capture of the Hessians at Trenton, December 26, 1776
																												","
																													Oil on canvas
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1844.3
																												
																													John Trumbull
																												
																													The Declaration of Independence, July 4, 1776
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v003$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=5a5bd6030e044306dc2b1a1acc1bafbb&r=1558451702&lang=en-US,1844.3,John Trumbull,"
																													The Declaration of Independence, July 4, 1776
																												","
																													Oil on canvas
																												"
"
																											
																												
																													
																														
																													
																												
																											
																												
																													1844.6
																												
																													Thomas Cole
																												
																													Mount Etna from Taormina
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v007$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=698b605957f625259bba4c65dbca67ba&r=1558451702&lang=en-US,1844.6,"
																													Thomas Cole
																												","
																													Mount Etna from Taormina
																												","
																													Oil on canvas
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1844.7
																												
																													Johann Gotthard von Müller
																												
																													The Battle of Bunker's Hill near Boston, June 17, 1775
																												
																													Engraving on paper; unfinished proof
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v008$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=4f83e4032f87a7cef1557079dda9e2f2&r=1558451702&lang=en-US,"
																													1844.7
																												",Johann Gotthard von Müller,"
																													The Battle of Bunker's Hill near Boston, June 17, 1775
																												","
																													Engraving on paper; unfinished proof
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1844.5
																												
																													John Trumbull
																												
																													The Death of General Mercer at the Battle of Princeton, January 3, 1777
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v006$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=3f1ccbf17ac812a633b816901f06e1cc&r=1558451702&lang=en-US,1844.5,John Trumbull,"
																													The Death of General Mercer at the Battle of Princeton, January 3, 1777
																												","
																													Oil on canvas
																												"
"
																											
																												
																													
																														
																													
																												
																											
																												
																													1844.9
																												
																													John Trumbull
																												
																													Virginius
																												
																													Oil on wood
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v001$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=37e13ffa109668fc2461b220c0c123b2&r=1558451702&lang=en-US,1844.9,"
																													John Trumbull
																												","
																													Virginius
																												","
																													Oil on wood
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.1
																												
																													Thomas Sully
																												
																													Self-Portrait
																												
																													Oil on panel
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v002$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=12ce2ba4079a60eaaf615cbb8ca39f3b&r=1558451702&lang=en-US,"
																													1848.1
																												",Thomas Sully,"
																													Self-Portrait
																												","
																													Oil on panel
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1844.8
																												
																													Johan Frederik Clemens
																												
																													Death of General Montgomery
																												
																													Proof
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v000$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=b7196f1e33ad4fa816d995f3b061b116&r=1558451702&lang=en-US,1844.8,Johan Frederik Clemens,"
																													Death of General Montgomery
																												","
																													Proof
																												"
"
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.4
																												
																													John Trumbull
																												
																													Niagara Falls from an Upper Bank on the British Side
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v004$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=307a086f4152b2ad6c7e22dfb495e5b8&r=1558451702&lang=en-US,1848.4,"
																													John Trumbull
																												","
																													Niagara Falls from an Upper Bank on the British Side
																												","
																													Oil on canvas
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.5
																												
																													John Trumbull
																												
																													Niagara Falls from Below the Great Cascade on the British Side
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v005$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=91d8a48472efb568d313a8a8ed89df0f&r=1558451702&lang=en-US,"
																													1848.5
																												",John Trumbull,"
																													Niagara Falls from Below the Great Cascade on the British Side
																												","
																													Oil on canvas
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.2
																												
																													Henry Bryant
																												
																													Mrs. Nathaniel Terry (Catherine Wadsworth)
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v003$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=8f5d54a220338120385cd4712b96e6be&r=1558451702&lang=en-US,1848.2,Henry Bryant,"
																													Mrs. Nathaniel Terry (Catherine Wadsworth)
																												","
																													Oil on canvas
																												"
"
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.7
																												
																													John Trumbull
																												
																													Governor Jonathan Trumbull
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v007$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=6c247b8ab8bedbaf15426bd1f2b89618&r=1558451702&lang=en-US,1848.7,"
																													John Trumbull
																												","
																													Governor Jonathan Trumbull
																												","
																													Oil on canvas
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.8
																												
																													John Trumbull
																												
																													General David Humphreys
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v008$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=a5ffc453cc1f124ada966749e6b55c97&r=1558451702&lang=en-US,"
																													1848.8
																												",John Trumbull,"
																													General David Humphreys
																												","
																													Oil on canvas
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.6
																												
																													John Trumbull
																												
																													Portrait of a Gentleman, an Artist
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v006$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=5fae1746a969b0619b3a66cf6a0e94c3&r=1558451702&lang=en-US,1848.6,John Trumbull,"
																													Portrait of a Gentleman, an Artist
																												","
																													Oil on canvas
																												"
"
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.11
																												
																													Henry Bryant
																												
																													Daniel Wadsworth
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v001$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=9b31d4f4061eb4cab5d6bd8c756381e3&r=1558451702&lang=en-US,1848.11,"
																													Henry Bryant
																												","
																													Daniel Wadsworth
																												","
																													Oil on canvas
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.12
																												
																													James Sanford Ellsworth
																												
																													George Washington
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v002$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=84c447f7f0a786005b80b65f353f6fa5&r=1558451702&lang=en-US,"
																													1848.12
																												",James Sanford Ellsworth,"
																													George Washington
																												","
																													Oil on canvas
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.10
																												
																													Henry Bryant
																												
																													Jeremiah Wadsworth
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v000$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=cce9dcf7d3d2dee5d75f8c07e0d767e1&r=1558451702&lang=en-US,1848.10,Henry Bryant,"
																													Jeremiah Wadsworth
																												","
																													Oil on canvas
																												"
"
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.14
																												
																													Thomas Cole
																												
																													View of Monte Video, the Seat of Daniel Wadsworth, Esq.
																												
																													Oil on wood
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v004$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=e52aa29bd9cb3f3625a2cf511794b328&r=1558451702&lang=en-US,1848.14,"
																													Thomas Cole
																												","
																													View of Monte Video, the Seat of Daniel Wadsworth, Esq.
																												","
																													Oil on wood
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.15
																												
																													Thomas Cole
																												
																													Kaaterskill Falls
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v005$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=e9ff6b191e061725cb24b7ca6386e022&r=1558451702&lang=en-US,"
																													1848.15
																												",Thomas Cole,"
																													Kaaterskill Falls
																												","
																													Oil on canvas
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.13
																												
																													Thomas Cole
																												
																													View on Lake Winnipiseogee
																												
																													Oil on wood
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v003$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=ab8fbc6f49ad838b08630d04e1c0acd1&r=1558451702&lang=en-US,1848.13,Thomas Cole,"
																													View on Lake Winnipiseogee
																												","
																													Oil on wood
																												"
"
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.17
																												
																													Thomas Cole
																												
																													View in the White Mountains
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v007$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=421eec3c86ec69dc21fc9016747c9c78&r=1558451702&lang=en-US,1848.17,"
																													Thomas Cole
																												","
																													View in the White Mountains
																												","
																													Oil on canvas
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.18
																												
																													James Sharples
																												
																													George Washington
																												
																													Pastel on paper
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v008$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=ada8818e4e71d97e838ed1134d4a714f&r=1558451702&lang=en-US,"
																													1848.18
																												",James Sharples,"
																													George Washington
																												","
																													Pastel on paper
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.16
																												
																													Thomas Cole
																												
																													Landscape, Composition, St. John in the Wilderness
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v006$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=014f22c12e980224ce081dbd04d0d077&r=1558451702&lang=en-US,1848.16,Thomas Cole,"
																													Landscape, Composition, St. John in the Wilderness
																												","
																													Oil on canvas
																												"
"
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.20
																												
																													Henry Bryant
																												
																													Mrs. Jeremiah Wadsworth (Mehitable Russell)
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v001$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=ad952a51b66e5226e17bb9754959ad8d&r=1558451702&lang=en-US,1848.20,"
																													Henry Bryant
																												","
																													Mrs. Jeremiah Wadsworth (Mehitable Russell)
																												","
																													Oil on canvas
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.21
																												
																													Unidentified artist
																												
																													Ruth and Boaz
																												
																													Oil on canvas
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v002$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=62ca84f004f9af1a42d94a078e6297ab&r=1558451702&lang=en-US,"
																													1848.21
																												",Unidentified artist,"
																													Ruth and Boaz
																												","
																													Oil on canvas
																												","
																											
																												
																													
																														
																													
																												
																											
																												
																													1848.19
																												
																													James Sharples
																												
																													Martha Washington
																												
																													Pastel on paper
																												
																											
																												
																											
																										","javascript:__doPostBack('hld$comp_AAAAAA$c$comp_AAEX$c$comp_AAEX_mobile$c$comp_AAEZ$c$comp_AAFE$c$tab1$comp_AAFE_tab1$c$comp_AAFL$c$v00$v01$v00$v01$v00$v03$v00$v01$v000$v00','')",https://5058.sydneyplus.com/argus/final/ViewImage.aspx?template=Image&field=zDerivedIm4&hash=d6288ebc6cad3fbfbba8d7b8d0b5aae6&r=1558451702&lang=en-US,1848.19,James Sharples,"
																													Martha Washington
																												","
																													Pastel on paper
																												"
