Image,Education_URL,Title,Time Period,Author,Location
,https://www.metmuseum.org/art/collection/search/564783,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/DP109391.jpg,https://www.metmuseum.org/art/collection/search/544717,Shabti of Siptah,ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564576,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/14_6_344ac.jpg,https://www.metmuseum.org/art/collection/search/561295,Fragment of the Center Top Surface of Siptah's Canopic Chest,ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/561246,Jar Fragment,ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/23.10.57_EGDP017178.jpg,https://www.metmuseum.org/art/collection/search/561561,Amulet depicting two baboons flanking a djed pillar with sundisk and atef-crown,664–380 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/561283,Fragment of the Top Surface of Siptah's Canopic Chest,ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/556099,Ape amulet,ca. 1981–1550 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/DP275997.jpg,https://www.metmuseum.org/art/collection/search/546890,Kohl jar,ca. 1635–1458 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/12.180.377_view_1.jpg,https://www.metmuseum.org/art/collection/search/559154,Mold for a Wedjat Eye Amulet,ca. 1390–1352 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/551924,String of amulets,ca. 1295–1070 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-26_2_11_EGDP030629.jpg,https://www.metmuseum.org/art/collection/search/551282,Headrest of Khentika,ca. 2323–2150 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/556098,Fish amulet,ca. 1981–1550 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/559275,Shabti of Siptah,ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/17.194.2526_EGDP015647.jpg,https://www.metmuseum.org/art/collection/search/570619,Amulet depicting human head emerging from lotus,525–30 BC,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-35_3_21a_b_EGDP025626.jpg,https://www.metmuseum.org/art/collection/search/549124,Open-Mouthed Cosmetic Jar with Lid,ca. 1504–1447 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/558774,Camel Head Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/559260,Shabti of Siptah,ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/555346,Bird amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/548551,Ointment jar of Sithathoryunet,ca. 1887–1813 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/23.10.17_EGDP017133.jpg,https://www.metmuseum.org/art/collection/search/561521,"Amulet, sheet gold, bracelet",664–380 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/gr/mobile-large/DP121860.jpg,https://www.metmuseum.org/art/collection/search/243974,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/558849,Amulet of a Seated Princess,ca. 1390–1295 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/576955,"Inlay, drop pendant shape",ca. 1550–1295 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/DP276395.jpg,https://www.metmuseum.org/art/collection/search/550987,Djed Pillar Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/556589,Kohl Jar,ca. 1700–1550 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-10_130_981_EGDP036767.jpg,https://www.metmuseum.org/art/collection/search/544406,"Design Amulet, Pyramidal Back with Horizontal Piercing, Device showing Two Falcons Flanking what is meant to be an Ankh Sign",ca. 2150–2010 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564722,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/552702,"Amulet of the protective dwarf god (called ""pataikos"" by Herodotus)",ca. 1295–1070 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/561269,Fragment of the Interior surface of Siptah's Canopic Chest,ca. 1194–1188 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/DP-22284-001.jpg,https://www.metmuseum.org/art/collection/search/568951,Seal amulet,ca. 1295–1070 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564690,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/566851,"Amulet, Bes dancing",ca. 1295–1070 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/DT4210.jpg,https://www.metmuseum.org/art/collection/search/547775,Head of a Hippopotamus,ca. 1390–1352 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/560755,Amulets,ca. 1295–1070 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-12952-001.jpg,https://www.metmuseum.org/art/collection/search/436579,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/556903,Jar,ca. 1981–1640 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/548798,Bes Amulet,ca. 1479–1458 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-14201-049.jpg,https://www.metmuseum.org/art/collection/search/435621,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/14_6_373f_ac.jpg,https://www.metmuseum.org/art/collection/search/577026,Fragment of a Canopic Chest of Queen Tiya,ca. 1427–1390 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-10_130_2656_EGDP023212.jpg,https://www.metmuseum.org/art/collection/search/570294,Hellenistic-style head,200 BC–100 AD,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/ap74.7.jpg,https://www.metmuseum.org/art/collection/search/11315,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564787,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/552987,Carpenter's Square Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DT4921.jpg,https://www.metmuseum.org/art/collection/search/12772,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/md/mobile-large/sf1991-416-2abs1.jpg,https://www.metmuseum.org/art/collection/search/466224,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/DP136533.jpg,https://www.metmuseum.org/art/collection/search/547782,Heart amulet with human head,ca. 1550–710 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ma/mobile-large/DP220325.jpg,https://www.metmuseum.org/art/collection/search/486739,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564679,Fragment of the Interior of Siptah's Canopic Box,ca. 1194–1188 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/551205,Amon Amulet,ca. 1353–1323 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DT8475.jpg,https://www.metmuseum.org/art/collection/search/437755,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564670,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/558824,"Amulet, fish",ca. 1550–1295 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP283310.jpg,https://www.metmuseum.org/art/collection/search/436186,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564668,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/eg/mobile-large/LC-26_7_891_EGDP028077.jpg,https://www.metmuseum.org/art/collection/search/550958,Amulet depicting a ram-headed god,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ad/mobile-large/DP-20820-001.jpg,https://www.metmuseum.org/art/collection/search/11140,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/564620,"Sarcophagus fragment, Siptah",ca. 1194–1188 B.C.,Ancient Egyptian Artisan,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/550655,Monkey Plaque of Ramesses II,ca. 1295–1070 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP264408.jpg,https://www.metmuseum.org/art/collection/search/437479,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/568439,Fish net weight,ca. 1295–1070 B.C.,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/550911,Sacred Ram Amulet,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/ep/mobile-large/DP224123.jpg,https://www.metmuseum.org/art/collection/search/439844,,,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/gr/mobile-large/DP119981.jpg,https://www.metmuseum.org/art/collection/search/243981,,,Unknown Author,"40.7794, -73.9632"
,https://www.metmuseum.org/art/collection/search/550905,Seal amulet in the shape of hedgehog,664–332 B.C.,Unknown Author,"40.7794, -73.9632"
https://images.metmuseum.org/CRDImages/rl/mobile-large/DT3149.jpg,https://www.metmuseum.org/art/collection/search/459172,,,Unknown Author,"40.7794, -73.9632"
